Date,(ALL) Requiring inpatient care,(ALL) Discharged from hospital or released from treatment,(ALL) To be confirmed,(Hokkaido) Requiring inpatient care,(Hokkaido) Discharged from hospital or released from treatment,(Hokkaido) To be confirmed,(Aomori) Requiring inpatient care,(Aomori) Discharged from hospital or released from treatment,(Aomori) To be confirmed,(Iwate) Requiring inpatient care,(Iwate) Discharged from hospital or released from treatment,(Iwate) To be confirmed,(Miyagi) Requiring inpatient care,(Miyagi) Discharged from hospital or released from treatment,(Miyagi) To be confirmed,(Akita) Requiring inpatient care,(Akita) Discharged from hospital or released from treatment,(Akita) To be confirmed,(Yamagata) Requiring inpatient care,(Yamagata) Discharged from hospital or released from treatment,(Yamagata) To be confirmed,(Fukushima) Requiring inpatient care,(Fukushima) Discharged from hospital or released from treatment,(Fukushima) To be confirmed,(Ibaraki) Requiring inpatient care,(Ibaraki) Discharged from hospital or released from treatment,(Ibaraki) To be confirmed,(Tochigi) Requiring inpatient care,(Tochigi) Discharged from hospital or released from treatment,(Tochigi) To be confirmed,(Gunma) Requiring inpatient care,(Gunma) Discharged from hospital or released from treatment,(Gunma) To be confirmed,(Saitama) Requiring inpatient care,(Saitama) Discharged from hospital or released from treatment,(Saitama) To be confirmed,(Chiba) Requiring inpatient care,(Chiba) Discharged from hospital or released from treatment,(Chiba) To be confirmed,(Tokyo) Requiring inpatient care,(Tokyo) Discharged from hospital or released from treatment,(Tokyo) To be confirmed,(Kanagawa) Requiring inpatient care,(Kanagawa) Discharged from hospital or released from treatment,(Kanagawa) To be confirmed,(Niigata) Requiring inpatient care,(Niigata) Discharged from hospital or released from treatment,(Niigata) To be confirmed,(Toyama) Requiring inpatient care,(Toyama) Discharged from hospital or released from treatment,(Toyama) To be confirmed,(Ishikawa) Requiring inpatient care,(Ishikawa) Discharged from hospital or released from treatment,(Ishikawa) To be confirmed,(Fukui) Requiring inpatient care,(Fukui) Discharged from hospital or released from treatment,(Fukui) To be confirmed,(Yamanashi) Requiring inpatient care,(Yamanashi) Discharged from hospital or released from treatment,(Yamanashi) To be confirmed,(Nagano) Requiring inpatient care,(Nagano) Discharged from hospital or released from treatment,(Nagano) To be confirmed,(Gifu) Requiring inpatient care,(Gifu) Discharged from hospital or released from treatment,(Gifu) To be confirmed,(Shizuoka) Requiring inpatient care,(Shizuoka) Discharged from hospital or released from treatment,(Shizuoka) To be confirmed,(Aichi) Requiring inpatient care,(Aichi) Discharged from hospital or released from treatment,(Aichi) To be confirmed,(Mie) Requiring inpatient care,(Mie) Discharged from hospital or released from treatment,(Mie) To be confirmed,(Shiga) Requiring inpatient care,(Shiga) Discharged from hospital or released from treatment,(Shiga) To be confirmed,(Kyoto) Requiring inpatient care,(Kyoto) Discharged from hospital or released from treatment,(Kyoto) To be confirmed,(Osaka) Requiring inpatient care,(Osaka) Discharged from hospital or released from treatment,(Osaka) To be confirmed,(Hyogo) Requiring inpatient care,(Hyogo) Discharged from hospital or released from treatment,(Hyogo) To be confirmed,(Nara) Requiring inpatient care,(Nara) Discharged from hospital or released from treatment,(Nara) To be confirmed,(Wakayama) Requiring inpatient care,(Wakayama) Discharged from hospital or released from treatment,(Wakayama) To be confirmed,(Tottori) Requiring inpatient care,(Tottori) Discharged from hospital or released from treatment,(Tottori) To be confirmed,(Shimane) Requiring inpatient care,(Shimane) Discharged from hospital or released from treatment,(Shimane) To be confirmed,(Okayama) Requiring inpatient care,(Okayama) Discharged from hospital or released from treatment,(Okayama) To be confirmed,(Hiroshima) Requiring inpatient care,(Hiroshima) Discharged from hospital or released from treatment,(Hiroshima) To be confirmed,(Yamaguchi) Requiring inpatient care,(Yamaguchi) Discharged from hospital or released from treatment,(Yamaguchi) To be confirmed,(Tokushima) Requiring inpatient care,(Tokushima) Discharged from hospital or released from treatment,(Tokushima) To be confirmed,(Kagawa) Requiring inpatient care,(Kagawa) Discharged from hospital or released from treatment,(Kagawa) To be confirmed,(Ehime) Requiring inpatient care,(Ehime) Discharged from hospital or released from treatment,(Ehime) To be confirmed,(Kochi) Requiring inpatient care,(Kochi) Discharged from hospital or released from treatment,(Kochi) To be confirmed,(Fukuoka) Requiring inpatient care,(Fukuoka) Discharged from hospital or released from treatment,(Fukuoka) To be confirmed,(Saga) Requiring inpatient care,(Saga) Discharged from hospital or released from treatment,(Saga) To be confirmed,(Nagasaki) Requiring inpatient care,(Nagasaki) Discharged from hospital or released from treatment,(Nagasaki) To be confirmed,(Kumamoto) Requiring inpatient care,(Kumamoto) Discharged from hospital or released from treatment,(Kumamoto) To be confirmed,(Oita) Requiring inpatient care,(Oita) Discharged from hospital or released from treatment,(Oita) To be confirmed,(Miyazaki) Requiring inpatient care,(Miyazaki) Discharged from hospital or released from treatment,(Miyazaki) To be confirmed,(Kagoshima) Requiring inpatient care,(Kagoshima) Discharged from hospital or released from treatment,(Kagoshima) To be confirmed,(Okinawa) Requiring inpatient care,(Okinawa) Discharged from hospital or released from treatment,(Okinawa) To be confirmed
2020/12/18,25879,160034,869,1886,9673,0,40,344,0,117,196,0,94,28,0,4,89,0,108,192,0,138,534,0,270,1794,0,242,726,3,414,1434,0,1986,9127,0,1144,7559,0,5442,44151,0,1994,14069,0,75,353,3,21,437,0,72,828,3,14,312,0,41,422,0,138,851,25,391,1340,,612,1683,0,2237,11130,0,172,946,2,72,820,0,609,2922,15,3850,22146,16,826,6892,0,222,1363,0,51,501,11,8,59,1,15,163,0,204,642,53,279,1117,618,50,403,0,3,0,0,38,165,0,53,312,0,166,294,0,841,6046,0,47,359,0,65,277,7,161,1085,94,117,438,0,78,568,0,151,711,13,321,4533,5
2020/12/19,24560,147658,973,1825,9856,0,39,345,0,113,201,0,96,49,0,4,90,0,108,192,0,142,545,0,271,1812,0,257,745,3,404,1471,0,2128,9209,0,1196,7633,0,6125,44199,0,,,0,66,369,3,24,437,0,74,833,3,13,313,0,48,426,0,138,855,31,386,1381,,601,1725,0,2224,11357,0,171,961,0,76,831,0,609,2922,15,3670,22628,16,843,7000,0,232,1380,0,44,510,11,7,60,1,18,161,0,204,642,113,295,1149,651,53,405,0,2,2,0,24,179,0,47,317,0,163,310,0,908,6116,0,51,360,0,70,277,2,166,1097,106,110,452,0,85,572,0,129,711,13,301,4573,5
2020/12/20,24738,149565,1178,1881,9930,0,39,345,0,112,204,1,96,40,0,4,90,0,108,192,0,170,552,0,255,1844,0,267,755,3,415,1471,0,2090,9408,0,1227,7721,0,6078,44802,0,,,0,68,372,3,26,440,0,80,835,5,13,313,0,49,429,0,140,861,35,354,1426,,601,1725,0,2228,11581,0,174,968,0,77,836,0,609,2922,15,3696,22846,16,855,7115,0,244,1390,0,32,523,11,7,61,1,18,163,0,204,642,224,295,1157,738,56,408,0,4,0,0,24,181,0,45,319,0,173,323,0,1042,6210,0,42,369,0,79,277,7,172,1128,101,100,469,0,84,581,0,111,739,13,294,4602,5
2020/12/21,26854,166015,1204,1848,10065,0,25,360,0,107,211,0,104,33,0,4,90,0,104,217,0,182,561,0,244,1871,0,271,768,4,381,1494,0,2085,9525,0,1280,7785,0,5987,45284,0,2071,14725,0,70,373,3,27,441,0,84,837,4,13,313,0,42,436,0,111,910,18,331,1466,,539,1814,0,2252,11712,0,162,987,0,92,841,0,715,3046,22,3743,22968,16,872,7199,0,267,1399,0,32,528,11,7,61,1,19,162,0,204,642,253,380,1186,717,54,414,0,5,0,0,23,183,0,43,321,0,177,336,0,1042,6210,0,40,372,0,89,288,20,166,1150,117,89,482,0,82,586,0,98,739,13,291,4624,5
2020/12/22,26623,168720,1195,1750,10230,0,25,365,0,108,213,0,104,41,0,4,91,0,101,226,0,174,573,0,227,1907,0,271,802,4,351,1599,0,2193,9611,0,1341,7874,0,5841,45973,0,2207,14935,0,69,379,3,34,443,0,90,838,4,12,314,0,44,438,0,104,925,13,339,1494,,496,1877,0,2157,11894,0,152,1010,0,94,850,0,737,3071,23,3629,23369,0,888,7221,0,254,1438,0,32,532,11,7,62,1,17,164,0,204,642,266,405,1220,737,57,415,0,5,0,0,23,185,0,32,336,0,190,353,0,1021,6411,0,38,377,0,110,289,17,172,1185,98,78,497,0,71,599,0,86,795,13,279,4657,5
2020/12/23,26768,171495,1201,1666,10418,0,30,367,0,101,222,0,102,29,0,11,92,0,98,233,0,175,593,0,226,1926,0,263,843,4,353,1628,0,2305,9724,0,1368,7987,0,6027,46525,0,2250,15233,0,67,390,3,32,449,0,81,853,4,12,315,0,48,444,0,92,941,17,358,1531,,467,1940,0,2163,12072,0,147,1029,0,100,858,0,738,3163,35,3454,23848,0,901,7394,0,279,1450,0,31,538,11,9,64,1,14,172,0,204,642,301,418,1325,695,68,418,0,6,1,0,42,186,0,34,337,0,189,378,0,1021,6411,0,41,381,0,124,295,23,156,1256,89,77,505,0,71,605,0,66,795,13,283,4689,5
2020/12/24,28008,174241,983,1632,10571,0,33,368,0,88,238,0,105,37,0,11,93,0,99,243,0,185,601,0,234,1957,0,258,872,6,370,1653,0,2385,9890,0,1518,8069,0,6259,47172,0,2415,15559,0,76,396,3,37,454,0,95,860,7,12,316,0,49,449,0,101,965,7,389,1558,,456,1989,0,2167,12304,0,144,1043,2,115,859,0,794,3196,36,3491,24093,0,958,7501,0,295,1467,0,31,541,11,14,64,1,19,170,0,384,762,27,407,1395,751,76,418,0,6,0,0,68,187,0,37,341,0,191,395,0,1140,6595,0,47,382,0,132,295,27,157,1286,87,73,518,0,73,612,0,74,795,13,308,4712,5
2020/12/25,29114,176594,1008,1579,10713,0,32,376,0,70,261,0,100,38,0,19,93,0,103,249,0,219,610,0,231,1987,0,281,884,6,367,1709,0,2581,9991,0,1692,8106,0,6554,47751,0,2574,15860,0,81,405,3,52,454,0,105,864,9,15,317,0,52,453,0,104,979,8,388,1599,,457,2019,0,2224,12509,0,134,1067,0,130,872,0,813,3282,35,3531,24339,0,1001,7607,0,304,1487,0,26,546,11,13,65,1,19,171,0,384,762,58,454,1484,724,83,420,0,7,0,0,73,189,0,42,345,0,183,415,0,1140,6595,0,47,389,0,155,298,1,156,1307,134,69,529,0,73,621,0,85,831,13,312,4746,5
2020/12/26,27689,162653,1157,1598,10851,0,38,377,0,63,278,0,110,39,0,29,93,0,93,264,0,225,623,0,225,2020,0,291,916,6,356,1756,0,2707,10129,0,1803,8194,0,7123,48121,0,,,0,98,405,3,55,457,0,109,870,7,16,318,0,53,455,0,113,984,5,407,1628,,461,2041,0,2276,12719,0,138,1076,0,178,873,0,813,3282,35,3502,24656,0,1079,7746,0,315,1507,0,25,548,11,17,65,2,18,176,0,384,762,86,466,1524,807,93,423,0,7,0,0,77,193,0,49,347,0,161,451,0,1190,6688,0,51,393,0,168,298,12,151,1337,165,74,538,0,79,627,0,85,831,13,320,4774,5
2020/12/27,28378,164355,1215,1621,10906,0,44,377,0,65,285,0,104,34,0,30,94,0,86,275,0,233,636,0,227,2045,0,300,935,6,359,1756,0,2691,10353,0,1800,8302,0,7510,48442,0,,,0,95,410,3,56,459,0,114,875,5,16,319,0,58,457,0,132,991,10,421,1659,,471,2059,0,2321,12933,0,147,1082,0,199,877,0,813,3282,35,3441,24942,0,1120,7871,0,345,1515,0,26,550,11,20,65,2,27,175,0,384,762,107,493,1580,834,97,427,0,7,0,0,83,196,0,56,348,0,159,461,0,1273,6765,0,53,394,0,175,298,19,151,1337,165,75,540,0,72,637,0,90,844,13,318,4805,5
2020/12/28,31783,183025,1287,1628,10988,0,51,380,0,70,287,0,97,36,0,31,94,0,84,280,0,237,640,0,241,2061,0,310,956,6,324,1842,0,2725,10500,0,1829,8449,0,7495,48932,0,3009,16579,0,87,418,3,54,462,0,113,880,3,17,320,0,61,466,0,121,1005,10,448,1677,,425,2117,0,2351,13118,0,144,1100,0,197,893,0,1019,3431,42,3458,25062,0,1140,8004,0,335,1555,0,27,551,11,28,65,2,30,175,0,384,762,126,486,1652,849,103,434,0,7,0,0,89,196,0,69,350,0,158,470,0,1303,6872,0,45,403,0,193,311,50,172,1384,167,90,544,0,68,646,0,108,856,13,322,4822,5
2020/12/29,32272,185786,1334,1591,11106,0,63,382,0,68,289,0,95,41,0,37,94,0,84,288,0,235,653,0,255,2090,0,373,976,6,328,1842,0,2824,10697,0,1899,8594,0,7652,49626,0,3100,16874,0,95,425,3,54,468,0,109,895,4,17,321,1,61,476,0,123,1014,11,476,1724,,427,2139,0,2255,13329,0,146,1108,0,217,899,0,1019,3431,42,3349,25468,0,1140,8104,0,336,1578,0,21,559,11,34,65,2,31,177,0,384,762,149,535,1677,824,116,445,0,7,0,0,94,199,0,79,354,0,146,490,0,1360,7107,0,49,405,0,201,311,96,172,1384,167,96,553,0,68,659,0,119,856,13,332,4852,5
2020/12/30,33834,187810,1391,1659,11168,0,69,382,0,68,290,0,93,32,0,36,99,0,84,292,0,232,672,0,277,2105,0,415,990,6,350,1898,0,2942,10820,0,2052,8659,0,8235,49983,0,3106,17295,0,106,426,3,49,475,0,116,906,8,20,321,1,71,479,0,139,1021,12,522,1747,,451,2159,0,2358,13457,0,155,1123,0,226,917,0,1019,3431,42,3433,25683,0,1162,8264,0,340,1602,0,21,561,11,43,66,2,31,177,0,384,762,181,579,1724,818,117,455,0,5,3,0,95,203,0,86,358,0,138,510,0,1462,7193,0,58,406,0,205,311,91,178,1408,197,102,560,0,76,662,0,118,875,14,351,4880,5
2020/12/31,36169,189874,1584,1680,11309,0,89,385,0,64,297,0,95,53,0,39,100,0,77,304,0,251,673,0,287,2123,0,472,1006,6,351,1935,0,3075,11017,0,2189,8771,0,9185,50365,0,3451,17534,0,104,436,3,49,478,0,115,915,10,17,325,1,76,482,0,151,1029,12,560,1792,,461,2177,0,2510,13596,0,165,1127,0,227,937,0,1019,3431,42,3554,25866,0,1198,8404,0,361,1620,0,27,562,11,46,66,6,29,178,0,384,762,204,617,1778,806,120,467,0,6,1,0,95,206,0,87,365,0,116,540,0,1573,7272,190,58,409,0,217,311,79,196,1466,195,122,561,0,91,666,0,126,875,14,387,4902,5
2021/1/1,36939,192620,1332,1666,11418,0,93,391,0,63,302,0,89,27,0,40,102,0,80,303,0,240,695,0,303,2147,0,495,1039,6,340,1964,0,3138,11171,0,2248,8854,0,9468,50861,0,3566,17885,0,109,436,3,53,481,0,121,920,8,17,325,1,81,485,0,164,1039,12,584,1825,,477,2195,0,2543,13797,0,161,1138,0,238,949,0,962,3829,41,3671,26002,0,1232,8561,0,371,1646,0,33,565,11,51,66,2,28,181,0,384,762,231,609,2132,542,118,471,0,7,0,0,91,212,0,91,367,0,107,554,0,1573,7272,190,62,409,0,225,311,71,196,1466,195,121,573,0,109,673,0,123,880,14,398,4939,5
2021/1/2,37617,194870,1303,1691,11466,0,94,394,0,62,305,0,84,50,0,39,103,0,79,303,0,245,703,0,303,2167,0,529,1061,6,348,1995,0,3108,11385,0,2399,8938,0,9848,51295,0,3518,18310,0,116,438,2,54,483,0,132,924,10,19,327,1,78,493,0,164,1049,12,549,1898,,502,2215,0,2555,13976,0,163,1152,0,247,963,0,962,3829,41,3744,26181,0,1235,8677,0,379,1674,0,42,569,11,51,67,2,31,182,0,384,762,254,656,2290,399,115,477,0,7,0,0,90,215,0,95,369,0,95,573,0,1573,7272,190,48,424,0,226,311,162,196,1495,194,126,579,0,134,679,0,126,880,14,376,4972,5
2021/1/3,38414,196969,1277,1692,11521,0,103,395,0,63,307,0,76,34,0,35,110,0,71,317,0,218,744,0,321,2201,0,590,1072,6,360,2015,0,3142,11580,0,2545,9014,0,10301,51657,0,3428,18763,0,120,445,3,55,491,0,140,927,13,19,327,1,83,496,0,182,1057,13,563,1942,,526,2221,0,2555,14129,0,167,1160,0,261,986,0,962,3829,41,3834,26337,0,1171,8844,0,387,1696,0,52,570,11,49,72,2,27,187,0,384,762,281,699,2364,362,114,483,0,6,1,0,83,225,0,92,379,0,96,582,0,1573,7272,190,51,428,0,234,311,153,205,1539,182,126,588,0,161,682,0,119,905,14,373,5002,5
2021/1/4,39456,199629,983,1704,11598,0,98,410,0,56,314,0,74,39,0,32,116,0,72,321,0,227,759,0,331,2223,0,632,1099,6,355,2015,0,3143,11726,0,2634,9120,0,10804,52036,0,3405,19193,0,122,450,3,55,496,0,146,935,13,16,331,1,94,503,0,179,1077,12,573,1985,,529,2242,0,2478,14385,0,170,1171,0,281,1003,0,1175,3799,42,3976,26470,0,1105,8999,0,345,1760,0,64,570,11,53,72,2,25,189,0,384,762,314,714,2421,360,122,487,0,8,0,0,83,229,0,90,390,0,89,591,0,1722,7633,0,51,432,0,233,444,21,200,1580,179,127,597,0,186,690,0,138,914,14,356,5053,5
2021/1/5,40825,203012,793,1607,11771,0,92,423,0,55,321,0,82,30,0,39,119,0,66,332,0,239,770,0,368,2253,0,669,1173,7,360,2094,0,3375,11853,0,2855,9160,0,11458,52646,0,3492,19722,0,106,476,3,51,510,0,158,943,13,18,331,1,102,512,0,184,1099,3,613,2043,,535,2278,0,2469,14541,0,173,1195,0,267,1041,0,1151,3989,48,4167,26666,0,1033,9183,0,357,1777,0,71,572,11,53,74,2,22,193,0,292,1032,185,702,2562,278,129,503,0,12,1,0,88,232,0,111,394,0,82,604,0,1762,7780,0,68,440,0,241,467,44,200,1580,179,136,604,0,216,697,0,141,922,14,358,5104,5
2021/1/6,43151,206215,905,1465,12023,0,97,432,0,50,328,0,89,33,0,36,122,0,68,340,0,264,783,0,404,2287,0,774,1200,7,360,2151,0,3571,12003,0,2877,9452,0,12431,53256,0,3782,20019,0,122,480,3,60,519,0,148,962,10,30,333,1,108,525,0,219,1112,5,637,2123,,552,2330,0,2510,14766,0,183,1212,0,307,1050,0,1136,4103,47,4433,26950,0,1041,9386,0,351,1807,0,83,577,11,73,74,2,20,196,0,292,1032,244,677,2635,301,117,523,0,22,0,0,90,244,0,125,403,0,75,615,0,1975,7882,0,68,448,0,249,488,69,208,1620,186,155,611,0,286,707,0,141,931,14,390,5142,5
2021/1/7,46730,209382,1012,1419,12228,0,101,436,0,50,331,0,87,40,0,32,128,0,64,345,0,281,794,0,457,2324,0,879,1225,7,432,2161,0,3934,12041,0,3130,9649,0,14171,53952,0,4155,20321,0,125,486,3,89,520,0,165,971,12,33,334,1,130,539,0,257,1114,44,641,2209,,573,2385,0,2601,15030,0,189,1226,2,339,1071,0,1164,4194,49,4467,27515,0,1099,9565,0,344,1841,0,92,585,11,75,79,2,16,202,0,292,1032,310,703,2734,252,124,532,0,20,2,0,116,250,0,144,412,0,80,622,0,1975,7882,0,78,450,0,259,500,89,212,1650,211,151,634,0,384,714,0,161,969,14,440,5158,5
2021/1/8,51063,212759,839,1360,12458,0,95,451,0,47,338,0,96,25,0,35,129,0,58,355,0,302,810,0,565,2343,0,987,1267,9,502,2192,0,4239,12227,0,3507,9735,0,15734,54774,0,4665,20642,0,130,497,3,106,524,0,176,981,16,40,334,1,158,547,0,305,1137,40,668,2265,,616,2430,0,2803,15251,0,190,1246,6,359,1090,0,1128,4368,47,4829,27788,0,1149,9795,0,371,1869,0,106,592,11,75,84,2,16,205,0,327,1241,112,703,2734,252,121,547,0,24,1,0,146,254,0,177,417,0,81,630,0,2264,7978,1,73,457,0,256,517,75,219,1680,245,160,642,0,445,725,0,182,975,14,468,5212,5
2021/1/9,55399,215957,976,1456,12573,0,87,464,0,49,340,3,95,30,0,33,133,0,58,355,0,313,838,0,639,2377,0,1103,1289,9,522,2233,0,4625,12357,0,3854,9866,0,17226,55542,0,5153,21145,0,137,503,3,134,527,0,183,993,20,46,338,1,170,554,0,349,1159,15,719,2319,,704,2449,0,2978,15474,0,209,1259,6,414,1091,0,1128,4368,47,5190,28064,0,1140,10096,0,380,1905,0,118,596,11,74,86,2,20,204,0,327,1241,192,736,2880,281,124,561,0,29,0,0,154,256,0,186,431,0,79,635,0,2495,8113,0,107,460,0,267,517,64,221,1719,303,156,658,0,502,744,0,200,975,14,510,5240,5
2021/1/10,58436,218364,1137,1519,12692,0,80,473,0,62,342,0,103,27,0,37,135,0,62,361,0,329,868,0,691,2409,0,1166,1344,10,564,2267,0,4672,12553,0,4170,9938,0,18213,56046,0,5602,21420,0,156,505,3,147,533,0,192,1005,22,40,344,1,175,564,0,409,1172,10,736,2366,,783,2460,0,3177,15634,0,239,1265,6,413,1117,0,1128,4368,47,5403,28376,0,1258,10293,0,398,1933,0,122,607,11,69,92,3,20,207,0,327,1241,224,762,2986,208,143,563,0,32,0,0,166,257,0,215,434,0,75,645,0,2495,8113,0,121,464,0,277,517,214,231,1742,359,154,667,0,531,764,0,228,975,14,544,5280,5
2021/1/11,61119,220834,1309,1574,12767,0,78,481,0,63,342,2,106,22,0,31,142,0,62,362,0,338,885,0,724,2443,0,1256,1360,12,559,2303,0,4728,12843,0,4452,9995,0,18923,56551,0,6010,21705,0,169,510,3,156,534,0,197,1011,27,41,345,1,172,574,0,445,1190,29,731,2422,,851,2474,0,3288,15857,0,242,1275,6,406,1148,0,1128,4368,47,5667,28585,0,1364,10452,0,401,1959,0,128,616,11,66,95,3,21,206,0,327,1241,276,726,3016,269,144,575,0,33,0,0,178,259,0,233,443,0,71,651,0,2917,8300,0,121,469,0,269,517,222,246,1767,382,152,677,0,536,788,0,233,1000,14,556,5309,5
2021/1/12,62221,224791,1224,1588,12895,0,70,491,0,65,344,0,106,52,0,28,147,0,61,364,0,355,891,0,749,2488,0,1313,1386,16,582,2303,0,4565,13260,0,4694,10173,0,19029,57413,0,6086,22530,0,162,535,3,162,541,0,189,1023,25,39,347,1,177,588,0,459,1237,19,707,2482,,851,2523,0,3323,16014,0,227,1305,4,408,1170,0,1453,4604,54,5850,28766,0,1489,10477,0,385,2001,0,127,631,11,63,97,3,20,207,0,327,1241,309,687,3152,230,149,580,0,67,1,0,163,280,0,252,456,0,72,656,0,3037,8391,0,134,478,0,272,628,148,246,1767,382,156,687,0,504,833,0,225,1012,14,548,5344,5
2021/1/13,62815,229255,1257,1524,13064,0,69,505,0,69,349,1,117,31,0,27,150,0,59,365,0,354,915,0,758,2555,0,1346,1493,16,612,2320,0,4634,13535,0,4651,10630,0,19207,58655,0,6141,23229,0,175,545,3,170,547,0,180,1041,26,40,349,1,179,606,0,461,1282,6,683,2583,,893,2560,0,3288,16171,0,234,1323,8,387,1209,0,1453,4604,54,6029,29110,0,1589,10528,1,378,2042,0,121,646,11,57,104,3,19,209,0,327,1241,346,649,3236,215,155,587,0,69,1,0,174,282,0,242,479,0,77,665,0,3112,8512,0,148,488,0,278,639,153,252,1823,394,158,702,0,496,882,0,223,1057,14,551,5406,5
2021/1/14,64040,234192,1399,1578,13201,0,82,517,0,67,356,1,125,55,0,28,152,0,57,369,0,359,948,0,807,2610,0,1292,1624,16,630,2390,0,4734,13658,0,4812,10952,0,19453,59908,0,6111,24239,0,181,558,5,171,558,0,182,1058,26,48,350,1,184,621,0,452,1337,10,701,2656,,936,2626,0,3385,16384,0,227,1350,10,425,1219,0,1464,4702,55,6254,29466,0,1714,10678,0,387,2063,0,118,661,11,50,115,3,16,214,0,327,1241,384,599,3369,190,151,609,0,71,2,0,171,302,0,250,499,0,72,673,0,3192,8683,0,156,504,0,290,662,154,271,1901,514,158,718,0,506,920,0,227,1057,14,569,5457,5
2021/1/15,66148,239344,1028,1631,13344,0,89,525,0,67,362,0,131,36,0,32,156,0,52,376,0,364,979,0,871,2705,0,1359,1653,17,639,2460,0,4996,13765,0,5231,11035,0,19797,61555,0,6439,24773,0,185,569,5,159,583,0,191,1070,27,72,351,1,168,650,0,472,1387,4,679,2756,,950,2694,0,3449,16623,0,237,1378,8,420,1260,0,1429,5013,57,6417,29859,0,1815,10865,0,393,2101,0,120,679,11,50,118,3,20,213,0,479,1434,73,593,3485,126,160,619,0,78,0,0,198,311,0,251,522,0,59,690,0,3234,8979,0,174,516,0,290,692,163,271,1901,514,150,737,0,485,987,0,223,1057,14,579,5521,5
2021/1/16,67344,244357,1109,1716,13444,0,98,529,0,67,365,0,131,36,0,38,157,0,47,382,0,366,1012,0,891,2790,0,1365,1743,18,636,2548,0,5437,13831,0,5610,11160,0,19879,63279,0,6330,25707,0,177,584,5,167,590,0,199,1084,26,71,359,1,158,670,0,493,1429,6,716,2809,,952,2763,0,3522,16891,0,237,1405,12,380,1330,0,1429,5013,57,6521,30372,0,1904,11048,0,398,2135,0,114,701,11,48,122,3,15,219,0,479,1434,108,568,3579,90,187,629,0,71,10,0,196,320,0,248,538,0,53,700,0,3234,8979,0,191,524,0,283,692,169,285,1982,584,154,752,0,431,1069,0,207,1057,14,645,5585,5
2021/1/17,68655,248412,1134,1720,13560,0,102,533,0,72,370,0,143,41,0,48,159,0,41,389,0,367,1048,0,911,2857,0,1396,1766,18,605,2634,0,5597,14101,0,5891,11304,0,20646,64099,0,6429,26399,0,178,589,5,166,603,0,183,1108,19,65,369,1,156,680,0,478,1493,3,672,2905,,962,2844,0,3590,17144,0,240,1419,10,383,1345,0,1429,5013,57,6364,30989,0,2001,11213,0,398,2173,0,116,715,11,49,123,3,14,221,0,479,1434,142,543,3645,100,191,642,0,73,2,0,194,331,0,242,555,0,52,705,0,3234,8979,0,193,551,0,292,692,159,281,2034,586,151,764,0,424,1114,0,208,1125,15,686,5633,5
2021/1/18,68992,253757,1112,1708,13695,0,94,542,0,67,379,0,129,54,0,51,164,0,34,396,0,355,1081,0,919,2911,0,1376,1870,19,561,2634,0,5588,14361,0,6142,11411,0,20777,65169,0,5900,27880,0,155,612,5,148,627,0,184,1120,21,69,373,1,141,703,0,460,1536,3,653,2978,,916,2931,0,3546,17400,0,228,1462,10,397,1355,0,1429,5013,57,6472,31302,0,2048,11454,0,416,2202,0,121,722,11,45,126,4,16,219,0,479,1434,173,527,3708,91,273,648,0,76,2,0,193,340,0,240,573,0,52,714,0,3811,9470,0,186,573,0,270,843,117,281,2034,586,142,780,0,433,1134,0,195,1125,9,689,5697,5
2021/1/19,67512,261531,1057,1623,13866,0,94,554,0,64,386,0,128,55,0,52,166,0,34,400,0,321,1128,0,846,3050,0,1248,2092,23,539,2715,0,5699,15549,0,6025,12012,0,20289,66881,0,5687,28822,0,148,633,7,124,659,0,194,1133,26,71,376,1,132,720,0,415,1595,5,655,3059,,897,3002,0,3403,17687,0,203,1509,8,377,1402,0,1525,5327,59,6355,31931,0,1933,11714,0,379,2263,0,126,737,11,45,128,4,14,223,0,479,1434,195,488,3787,77,299,669,0,81,3,0,183,357,0,221,613,0,57,721,0,3900,9580,0,189,584,0,265,879,102,293,2176,519,136,792,0,362,1234,0,167,1176,15,747,5752,5
2021/1/20,65629,268816,1109,1647,14001,0,81,570,0,67,391,0,134,41,0,57,169,0,39,401,0,323,1161,0,837,3144,0,1155,2229,28,536,2841,0,5450,16201,0,5674,12753,0,19533,68901,0,5402,29814,0,136,652,7,112,676,0,206,1145,33,70,378,1,121,736,0,401,1662,9,626,3144,,854,3110,0,3389,17940,0,216,1530,8,382,1438,0,1670,5433,62,6176,32604,0,1946,11912,0,395,2289,0,126,755,12,46,132,4,15,224,0,479,1434,225,430,3863,82,315,671,0,82,6,0,182,368,0,210,640,0,63,731,0,3840,9832,0,199,605,0,261,920,103,273,2243,515,140,803,0,368,1279,0,165,1236,15,800,5808,5
2021/1/21,65428,274538,1158,1599,14173,0,84,573,0,60,399,0,132,48,0,58,170,0,38,404,0,312,1187,0,846,3216,0,1107,2326,29,579,2841,0,5326,16759,0,5774,13130,0,19481,70417,0,5261,30679,0,143,665,7,105,693,0,225,1156,44,75,378,1,109,753,0,377,1711,12,628,3201,,837,3190,0,3391,18179,0,215,1558,12,379,1469,0,1616,5609,62,6131,33131,0,2047,12098,0,402,2323,0,135,769,13,42,139,3,15,227,0,479,1434,254,450,3906,72,307,689,0,104,4,0,181,378,0,213,661,0,67,733,0,3819,10126,0,215,616,0,265,937,114,273,2243,515,159,817,0,367,1308,0,204,1236,15,796,5879,5
